READ_DATE,KWH_EXP,tavg,tmin,tmax,wdir,wspd,pres
2019-01-01,1.704497145987168,25.7,24.8,30.2,44.0,6.4,1008.9
2019-01-02,1.804380055605178,26.0,24.1,29.2,21.0,5.4,1009.2
2019-01-03,1.6062320025418788,24.6,24.0,27.3,340.0,4.1,1010.3
2019-01-04,1.2205100868994212,26.2,23.0,29.8,340.0,6.9,1011.4
2019-01-05,0.9804237675044774,26.9,23.6,30.2,284.0,6.3,1011.7
2019-01-06,1.01718342918526,26.0,24.2,30.8,152.0,6.0,1011.2
2019-01-07,0.9096517157147824,27.2,22.6,31.2,136.0,6.2,1010.2
2019-01-08,0.9716298954768569,27.9,23.7,31.5,119.0,6.8,1009.6
2019-01-09,0.9570343154829444,28.1,23.8,31.2,164.0,6.9,1009.3
2019-01-10,0.890805024251477,27.9,24.4,31.1,41.0,8.0,1009.4
2019-01-11,1.3385120493334997,27.4,24.7,31.1,94.0,7.2,1009.0
2019-01-12,1.047323346103641,27.4,24.0,31.4,98.0,7.3,1009.1
2019-01-13,0.8723083269688333,26.8,24.2,31.5,127.0,7.8,1008.3
2019-01-14,0.873111375197725,26.7,23.2,31.3,127.0,6.2,1007.0
2019-01-15,0.7215941453543314,26.3,23.6,30.8,134.0,5.5,1006.4
2019-01-16,0.9429416006186236,25.0,23.4,29.6,165.0,4.9,1006.8
2019-01-17,1.24117997487689,25.3,23.4,30.0,108.0,4.8,1007.5
2019-01-18,0.9904555577830022,25.9,23.4,29.6,201.0,6.4,1007.4
2019-01-19,1.1961187722992883,27.7,23.6,31.5,347.0,5.7,1007.7
2019-01-20,1.683782332268614,26.2,24.4,30.6,91.0,6.5,1007.8
2019-01-21,2.2410170819161763,26.9,24.1,32.1,119.0,5.9,1007.1
2019-01-22,3.0264553102135943,26.1,23.8,31.8,35.0,6.1,1006.6
2019-01-23,2.036754062007432,26.6,24.0,28.8,294.0,7.7,1007.2
2019-01-24,1.876858264978554,26.4,24.6,30.6,312.0,10.6,1007.1
