READ_DATE,KWH_EXP,Tavg,RH_avg,RR,ss
2019-01-01,1.704497145987168,25.7,96.0,12.9,7.5
2019-01-02,1.804380055605178,25.9,90.0,42.7,6.7
2019-01-03,1.6062320025418788,24.9,94.0,0.5,0.1
2019-01-04,1.2205100868994212,25.8,88.0,34.6,0.1
2019-01-05,0.9804237675044774,26.7,88.0,2.1,3.2
2019-01-06,1.01718342918526,26.3,87.0,0.0,9.2
2019-01-07,0.9096517157147824,26.5,84.0,0.2,5.5
2019-01-08,0.9716298954768569,27.5,82.0,2.9,10.0
2019-01-09,0.9570343154829444,27.6,84.0,0.0,10.0
2019-01-10,0.890805024251477,27.6,82.0,0.0,11.8
2019-01-11,1.3385120493334997,27.5,85.0,0.0,9.6
2019-01-12,1.047323346103641,27.5,83.0,0.0,8.3
2019-01-13,0.8723083269688333,26.6,86.0,0.0,9.7
2019-01-14,0.873111375197725,26.3,86.0,12.8,9.5
2019-01-15,0.7215941453543314,26.1,87.0,23.799999999999997,9.2
2019-01-16,0.9429416006186236,25.6,91.0,34.8,5.6
2019-01-17,1.24117997487689,25.4,91.0,22.3,1.1
2019-01-18,0.9904555577830022,26.0,90.0,104.0,0.5
2019-01-19,1.1961187722992883,27.2,88.0,0.6,3.8
2019-01-20,1.683782332268614,26.2,90.0,0.0,6.4
2019-01-21,2.2410170819161763,26.7,89.0,25.7,5.3
2019-01-22,3.0264553102135943,26.3,88.0,41.0,6.9
2019-01-23,2.036754062007432,26.4,86.0,37.6,0.5
2019-01-24,1.876858264978554,27.4,74.0,0.2,0.0
2019-01-25,3.594970161969514,27.6,82.0,7.3,3.1
2019-01-26,3.437183829436846,27.7,86.0,0.2,4.9
2019-01-27,4.283500146596679,26.5,87.0,21.0,10.1
2019-01-28,7.011734801931038,26.4,90.0,19.6,1.2
2019-01-29,2.8250665162918955,26.0,91.0,11.5,0.8
2019-01-30,2.8250665162918955,25.7,88.0,1.2,5.1
2019-01-31,2.8250665162918955,26.8,85.0,11.8,6.2
2019-02-01,2.8250665162918955,25.9,89.0,0.2,5.9
2019-02-02,2.8250665162918955,26.3,89.0,9.9,5.5
2019-02-03,2.8250665162918955,26.7,86.0,11.3,6.4
2019-02-04,4.151854328248948,26.1,91.0,0.0,9.3
