READ_DATE,KWH_EXP,temp,dwpt,rhum,wdir,wspd,pres,coco
2019-02-26 14:00:00,4.8608166117605895,27.1,24.6,86.0,139.0,3.7,1009.5,2.0
2019-02-26 15:00:00,4.859836630376796,27.2,25.4,90.0,150.0,3.6,1009.0,2.0
2019-02-26 16:00:00,4.854186248542722,26.1,24.0,88.0,135.0,3.7,1009.5,2.0
2019-02-26 17:00:00,4.881264965855972,25.7,23.7,89.0,134.0,3.7,1009.0,2.0
2019-02-26 18:00:00,5.395332280404033,25.8,24.0,90.0,120.0,3.6,1007.5,2.0
2019-02-26 19:00:00,6.183701728156233,25.2,23.3,89.0,133.0,5.5,1008.4,2.0
2019-02-26 20:00:00,6.399875830919959,25.0,23.2,90.0,132.0,5.5,1008.3,2.0
2019-02-26 21:00:00,6.34532516500752,24.8,22.9,89.0,120.0,5.4,1007.6,2.0
2019-02-26 22:00:00,4.741618574057071,25.6,23.3,87.0,133.0,5.5,1008.5,2.0
2019-02-26 23:00:00,5.182279647483298,26.5,23.4,83.0,136.0,5.5,1008.9,2.0
2019-02-27 00:00:00,6.1748379153992,27.8,24.0,80.0,150.0,11.2,1009.2,2.0
2019-02-27 01:00:00,6.087975447140236,29.0,23.9,74.0,129.0,7.4,1009.0,2.0
2019-02-27 02:00:00,6.08389967513984,30.6,24.0,68.0,116.0,9.3,1008.8,2.0
2019-02-27 03:00:00,6.092436785337848,32.6,25.2,65.0,140.0,7.6,1008.0,2.0
2019-02-27 04:00:00,6.07040505099355,32.3,24.4,63.0,28.0,11.1,1007.7,2.0
2019-02-27 05:00:00,6.051178115188798,32.4,24.7,64.0,342.0,11.1,1007.0,2.0
2019-02-27 06:00:00,5.719963381407003,32.7,25.0,64.0,360.0,11.2,1005.7,2.0
2019-02-27 07:00:00,5.075938161939419,32.1,24.9,66.0,327.0,11.1,1006.1,2.0
2019-02-27 08:00:00,5.228777000098376,31.4,24.8,68.0,320.0,11.1,1006.0,2.0
2019-02-27 09:00:00,5.616197989686355,30.9,25.0,71.0,300.0,11.2,1005.1,2.0
2019-02-27 10:00:00,5.693543106147684,29.8,24.9,75.0,309.0,7.4,1006.6,2.0
2019-02-27 11:00:00,5.639712596651378,28.8,25.0,80.0,295.0,5.5,1007.3,2.0
2019-02-27 12:00:00,5.642691618746936,27.9,24.1,80.0,190.0,9.4,1008.4,2.0
2019-02-27 13:00:00,5.74246629527058,27.4,24.8,86.0,147.0,3.7,1008.5,2.0
2019-02-27 14:00:00,5.749140743098365,26.9,24.7,88.0,137.0,3.7,1008.9,2.0
2019-02-27 15:00:00,5.773023362934618,25.9,24.7,93.0,140.0,5.4,1009.2,2.0
2019-02-27 16:00:00,5.813762022438581,26.1,24.1,89.0,136.0,5.5,1009.0,2.0
2019-02-27 17:00:00,5.855891148992855,25.8,23.8,89.0,135.0,5.5,1008.7,2.0
2019-02-27 18:00:00,6.304669239516209,25.4,24.2,93.0,120.0,7.6,1008.0,2.0
2019-02-27 19:00:00,6.725891789138423,25.2,23.6,91.0,133.0,5.5,1008.2,2.0
2019-02-27 20:00:00,6.749178058782826,25.1,23.3,90.0,131.0,5.5,1008.2,2.0
2019-02-27 21:00:00,6.596231713091658,25.0,23.8,93.0,110.0,7.6,1008.0,2.0
2019-02-27 22:00:00,6.127136034227474,25.7,23.6,88.0,133.0,5.5,1008.6,2.0
2019-02-27 23:00:00,6.051165782448478,26.5,23.8,85.0,137.0,5.5,1009.0,2.0
2019-02-28 00:00:00,5.998358970301798,27.0,24.1,84.0,130.0,7.6,1009.0,2.0
2019-02-28 01:00:00,5.972412816854547,28.9,24.5,77.0,133.0,7.4,1009.2,2.0
2019-02-28 02:00:00,5.9556544897865855,30.5,24.6,71.0,122.0,7.4,1009.2,2.0
2019-02-28 03:00:00,4.498399347219544,32.6,24.9,64.0,100.0,7.6,1008.8,2.0
2019-02-28 04:00:00,5.6398982321349465,31.9,25.0,67.0,12.0,9.3,1008.3,2.0
2019-02-28 05:00:00,6.0066433056212265,31.8,25.2,68.0,337.0,11.1,1007.6,2.0
2019-02-28 06:00:00,5.652474208529091,31.2,25.6,72.0,340.0,11.2,1006.4,2.0
2019-02-28 07:00:00,5.458914357081411,31.2,25.3,71.0,325.0,11.1,1006.8,3.0
2019-02-28 08:00:00,5.485812263720641,30.6,25.2,73.0,317.0,11.1,1006.8,3.0
2019-02-28 09:00:00,5.300724349756204,30.2,24.8,73.0,310.0,9.4,1006.7,25.0
2019-02-28 10:00:00,2.759269320126904,29.0,25.2,80.0,297.0,7.4,1007.3,3.0
2019-02-28 11:00:00,3.4573754678159165,28.3,25.1,83.0,252.0,5.5,1007.8,3.0
2019-02-28 12:00:00,5.187679690435628,28.5,25.1,82.0,120.0,5.4,1008.2,3.0
2019-02-28 13:00:00,5.294416521035104,27.0,24.8,88.0,146.0,3.7,1008.7,2.0
2019-02-28 14:00:00,5.356456226091012,26.5,24.7,90.0,138.0,3.7,1009.1,2.0
2019-02-28 15:00:00,5.360763952806181,26.4,24.8,91.0,130.0,5.4,1009.5,2.0
2019-02-28 16:00:00,5.376356366675098,25.9,24.1,90.0,131.0,5.5,1009.1,2.0
2019-02-28 17:00:00,5.357096058327859,25.6,24.0,91.0,133.0,5.5,1008.6,2.0
2019-02-28 18:00:00,5.683279202054795,25.2,23.6,91.0,130.0,5.4,1007.8,2.0
2019-02-28 19:00:00,5.824603724628519,25.0,23.6,92.0,133.0,5.5,1008.2,2.0
2019-02-28 20:00:00,6.16330952204784,24.8,23.4,92.0,131.0,5.5,1008.2,2.0
2019-02-28 21:00:00,6.151401957316766,24.9,23.0,89.0,130.0,9.4,1007.9,2.0
2019-02-28 22:00:00,6.125194415525993,25.4,23.5,89.0,133.0,5.5,1008.6,2.0
2019-02-28 23:00:00,6.137288920978629,26.3,23.8,86.0,136.0,5.5,1009.0,2.0
2019-03-01 00:00:00,6.089156816451025,27.0,24.1,84.0,130.0,5.4,1009.5,2.0
2019-03-01 01:00:00,6.000209807441778,28.6,24.4,78.0,128.0,7.4,1009.4,2.0
2019-03-01 02:00:00,5.976980649745516,30.2,24.6,72.0,101.0,7.4,1009.3,2.0
2019-03-01 03:00:00,6.015108500229982,32.0,23.8,62.0,70.0,7.6,1009.6,2.0
2019-03-01 04:00:00,6.009477048857161,31.6,25.0,68.0,346.0,9.3,1008.5,2.0
2019-03-01 05:00:00,5.96356958036035,31.5,25.1,69.0,332.0,11.1,1007.8,2.0
2019-03-01 06:00:00,5.67660503707412,31.8,25.7,70.0,320.0,13.0,1007.2,3.0
2019-03-01 07:00:00,5.287895858199136,30.9,25.0,71.0,327.0,13.0,1007.0,2.0
2019-03-01 08:00:00,5.2239033443299006,30.4,25.0,73.0,324.0,11.1,1007.0,18.0
2019-03-01 09:00:00,5.239042447219388,31.0,24.2,67.0,330.0,9.4,1006.5,18.0
2019-03-01 10:00:00,5.279749282026732,29.0,25.0,79.0,316.0,9.3,1007.6,18.0
2019-03-01 11:00:00,5.323355567070529,28.2,25.0,83.0,311.0,5.5,1008.2,7.0
2019-03-01 12:00:00,5.336399690202617,28.6,25.0,81.0,330.0,1.8,1008.7,3.0
2019-03-01 13:00:00,5.386106589380811,27.1,24.7,87.0,3.0,3.7,1009.2,3.0
2019-03-01 14:00:00,5.38136730764127,26.6,24.6,89.0,109.0,3.7,1009.6,2.0
2019-03-01 15:00:00,5.322337539560574,26.2,24.1,88.0,130.0,3.6,1010.3,2.0
2019-03-01 16:00:00,5.247158750226903,25.9,24.1,90.0,112.0,3.7,1009.6,2.0
2019-03-01 17:00:00,5.265506061618595,25.6,24.0,91.0,122.0,3.7,1009.1,2.0
2019-03-01 18:00:00,5.646793233113318,25.2,23.4,90.0,130.0,5.4,1008.4,2.0
2019-03-01 19:00:00,3.0038380212873443,24.9,23.5,92.0,132.0,3.7,1008.6,2.0
2019-03-01 20:00:00,4.861443712605839,24.7,23.3,92.0,128.0,3.7,1008.5,2.0
2019-03-01 21:00:00,6.20790480596922,24.6,23.0,91.0,130.0,5.4,1008.0,2.0
2019-03-01 22:00:00,6.2060930359536775,25.1,23.3,90.0,131.0,5.5,1008.9,2.0
2019-03-01 23:00:00,6.212474899781325,25.9,23.6,87.0,134.0,5.5,1009.3,2.0
