READ_DATE,KWH_EXP,tavg,tmin,tmax,wdir,wspd,pres,Tavg,RH_avg,RR,ss,KWH_EXP_MA,KWH_EXP_ES,trend_ma,cycle_ma
2019-01-01,68.5595072314118,25.7,24.8,30.2,44.0,6.4,1008.9,25.7,96.0,12.9,7.5,67.55975186084197,68.0334407473423,54.7258750902487,12.833876770593271
2019-01-02,75.45147430993487,26.0,24.1,29.2,21.0,5.4,1009.2,25.9,90.0,42.7,6.7,67.55975186084197,68.79103557534827,54.73042601294648,12.82932584789549
2019-01-03,49.13867811654004,24.6,24.0,27.3,340.0,4.1,1010.3,24.9,94.0,0.5,0.1,67.55975186084197,67.67227053416015,54.73497693575997,12.824774925082004
2019-01-04,78.5191146847947,26.2,23.0,29.8,340.0,6.9,1011.4,25.8,88.0,34.6,0.1,67.55975186084197,59.60389733672732,54.73952785892048,12.820224001921488
2019-01-05,82.56908272487271,26.9,23.6,30.2,284.0,6.3,1011.7,26.7,88.0,2.1,3.2,67.55975186084197,69.30533032947007,54.744078782774956,12.815673078067015
2019-01-06,75.62207162438469,26.0,24.2,30.8,152.0,6.0,1011.2,26.3,87.0,0.0,9.2,67.55975186084197,72.46977292847853,54.748629707785895,12.811122153056075
2019-01-07,76.21869523793012,27.2,22.6,31.2,136.0,6.2,1010.2,26.5,84.0,0.2,5.5,67.55975186084197,74.9070311918347,54.75318063453129,12.80657122631068
2019-01-08,70.87428366647224,27.9,23.7,31.5,119.0,6.8,1009.6,27.5,82.0,2.9,10.0,67.55975186084197,74.01625384975398,54.757731563704645,12.802020297137325
2019-01-09,72.23212696023622,28.1,23.8,31.2,164.0,6.9,1009.3,27.6,84.0,0.0,10.0,67.55975186084197,68.98881615044019,54.762282496114906,12.797469364727064
2019-01-10,57.56649705889629,27.9,24.4,31.1,41.0,8.0,1009.4,27.6,82.0,0.0,11.8,67.55975186084197,68.7109204050642,54.76683343268648,12.792918428155488
2019-01-11,64.57688090259177,27.4,24.7,31.1,94.0,7.2,1009.0,27.5,85.0,0.0,9.6,67.55975186084197,60.86078616375163,54.77138437445913,12.788367486382839
2019-01-12,71.66677572285586,27.4,24.0,31.4,98.0,7.3,1009.1,27.5,83.0,0.0,8.3,67.55975186084197,62.362644851965534,54.77593532258794,12.78381653825403
2019-01-13,80.48467483972749,26.8,24.2,31.5,127.0,7.8,1008.3,26.6,86.0,0.0,9.7,67.55975186084197,67.87983441680836,54.78048627834331,12.77926558249866
