,Tanggal,Tavg,RH_avg,RR,ss
4,2019-01-05,26.7,88.0,2.1,3.2
5,2019-01-06,26.3,87.0,0.0,9.2
6,2019-01-07,26.5,84.0,0.2,5.5
7,2019-01-08,27.5,82.0,2.9,10.0
8,2019-01-09,27.6,84.0,0.0,10.0
9,2019-01-10,27.6,82.0,0.0,11.8
10,2019-01-11,27.5,85.0,0.0,9.6
11,2019-01-12,27.5,83.0,0.0,8.3
12,2019-01-13,26.6,86.0,0.0,9.7
14,2019-01-15,26.1,87.0,,9.2
18,2019-01-19,27.2,88.0,0.6,3.8
19,2019-01-20,26.2,90.0,0.0,6.4
25,2019-01-26,27.7,86.0,0.2,4.9
29,2019-01-30,25.7,88.0,1.2,5.1
31,2019-02-01,25.9,89.0,0.2,5.9
34,2019-02-04,26.1,91.0,0.0,9.3
38,2019-02-08,26.8,85.0,1.0,5.4
39,2019-02-09,27.2,85.0,0.1,4.2
40,2019-02-10,26.9,82.0,1.3,7.4
41,2019-02-11,26.7,87.0,0.0,7.7
45,2019-02-15,26.0,85.0,0.0,10.1
46,2019-02-16,27.2,81.0,3.0,9.5
47,2019-02-17,27.3,81.0,0.0,11.4
49,2019-02-19,26.7,86.0,,2.5
50,2019-02-20,26.7,84.0,0.0,7.6
51,2019-02-21,26.8,85.0,,6.8
52,2019-02-22,26.5,85.0,,6.7
53,2019-02-23,26.7,83.0,0.0,7.0
54,2019-02-24,27.3,82.0,,9.3
55,2019-02-25,28.0,80.0,0.0,10.8
56,2019-02-26,28.6,79.0,0.0,10.9
57,2019-02-27,28.7,78.0,0.0,11.6
58,2019-02-28,28.0,83.0,0.0,11.6
59,2019-03-01,28.0,80.0,0.0,6.1
60,2019-03-02,27.8,82.0,0.0,8.9
61,2019-03-03,27.4,83.0,,8.4
63,2019-03-05,27.2,85.0,0.0,8.9
64,2019-03-06,26.2,90.0,1.4,7.3
67,2019-03-09,27.0,83.0,0.0,4.1
68,2019-03-10,27.3,78.0,0.0,6.1
69,2019-03-11,27.1,82.0,3.5,10.8
70,2019-03-12,27.4,81.0,0.0,8.5
71,2019-03-13,26.3,86.0,0.0,9.7
73,2019-03-15,26.4,84.0,0.0,2.8
74,2019-03-16,26.1,88.0,0.0,5.0
75,2019-03-17,26.1,88.0,0.6,2.0
76,2019-03-18,26.0,92.0,1.6,5.2
79,2019-03-21,27.9,84.0,,6.5
87,2019-03-29,27.3,76.0,0.0,6.8
88,2019-03-30,27.3,82.0,0.0,7.7
89,2019-03-31,28.1,82.0,0.0,9.1
90,2019-04-01,27.0,77.0,0.0,8.1
91,2019-04-02,26.1,85.0,0.1,8.2
92,2019-04-03,26.8,83.0,1.6,4.4
93,2019-04-04,27.3,82.0,0.0,5.8
94,2019-04-05,26.1,88.0,0.0,5.1
96,2019-04-07,25.7,78.0,1.0,4.3
97,2019-04-08,26.7,83.0,0.0,10.6
98,2019-04-09,27.7,84.0,0.0,9.9
99,2019-04-10,27.6,83.0,0.0,9.2
100,2019-04-11,27.1,86.0,0.0,7.7
101,2019-04-12,27.7,85.0,,7.2
102,2019-04-13,27.7,85.0,0.0,5.2
103,2019-04-14,27.3,86.0,0.0,6.1
104,2019-04-15,27.4,85.0,0.0,7.2
105,2019-04-16,27.9,80.0,,10.4
107,2019-04-18,28.2,74.0,0.0,9.2
108,2019-04-19,28.2,78.0,0.0,10.9
109,2019-04-20,27.9,72.0,0.0,10.5
110,2019-04-21,27.9,76.0,0.0,8.1
111,2019-04-22,28.1,74.0,0.0,8.5
112,2019-04-23,28.0,75.0,0.0,10.0
113,2019-04-24,28.0,76.0,0.0,9.2
114,2019-04-25,28.2,76.0,0.0,10.2
115,2019-04-26,27.6,77.0,0.0,9.2
116,2019-04-27,27.7,82.0,0.0,7.8
117,2019-04-28,27.0,82.0,0.0,6.8
118,2019-04-29,27.2,83.0,0.2,5.2
119,2019-04-30,27.2,88.0,,2.1
122,2019-05-03,27.7,84.0,0.5,5.5
123,2019-05-04,26.9,84.0,1.0,6.7
125,2019-05-06,27.6,83.0,0.0,10.7
126,2019-05-07,26.9,74.0,0.0,6.5
127,2019-05-08,26.7,76.0,0.0,10.9
128,2019-05-09,28.0,69.0,0.0,10.8
129,2019-05-10,27.8,73.0,0.0,10.4
130,2019-05-11,26.8,76.0,0.0,10.8
131,2019-05-12,27.8,76.0,0.0,10.7
132,2019-05-13,26.7,80.0,0.0,8.8
133,2019-05-14,27.2,79.0,0.0,7.8
134,2019-05-15,27.5,69.0,0.0,10.1
135,2019-05-16,26.9,71.0,0.0,10.8
136,2019-05-17,26.8,71.0,0.0,10.3
137,2019-05-18,27.1,72.0,0.0,10.8
138,2019-05-19,27.4,73.0,0.0,10.7
139,2019-05-20,27.4,74.0,0.0,10.9
140,2019-05-21,27.6,73.0,0.0,10.8
141,2019-05-22,27.9,72.0,0.0,11.0
142,2019-05-23,27.9,69.0,0.0,10.3
143,2019-05-24,27.7,64.0,0.0,10.2
