Tanggal,Tavg,RH_avg,RR,ss
2019-01-01,25.7,96.0,12.9,7.5
2019-01-02,25.9,90.0,42.7,6.7
2019-01-03,24.9,94.0,0.5,0.1
2019-01-04,25.8,88.0,34.6,0.1
2019-01-05,26.7,88.0,2.1,3.2
2019-01-06,26.3,87.0,0.0,9.2
2019-01-07,26.5,84.0,0.2,5.5
2019-01-08,27.5,82.0,2.9,10.0
2019-01-09,27.6,84.0,0.0,10.0
2019-01-10,27.6,82.0,0.0,11.8
2019-01-11,27.5,85.0,0.0,9.6
2019-01-12,27.5,83.0,0.0,8.3
2019-01-13,26.6,86.0,0.0,9.7
2019-01-14,26.3,86.0,12.8,9.5
2019-01-15,26.1,87.0,23.799999999999997,9.2
2019-01-16,25.6,91.0,34.8,5.6
2019-01-17,25.4,91.0,22.3,1.1
2019-01-18,26.0,90.0,104.0,0.5
2019-01-19,27.2,88.0,0.6,3.8
2019-01-20,26.2,90.0,0.0,6.4
2019-01-21,26.7,89.0,25.7,5.3
2019-01-22,26.3,88.0,41.0,6.9
2019-01-23,26.4,86.0,37.6,0.5
2019-01-24,27.4,74.0,0.2,0.0
2019-01-25,27.6,82.0,7.3,3.1
2019-01-26,27.7,86.0,0.2,4.9
2019-01-27,26.5,87.0,21.0,10.1
2019-01-28,26.4,90.0,19.6,1.2
2019-01-29,26.0,91.0,11.5,0.8
2019-01-30,25.7,88.0,1.2,5.1
2019-01-31,26.8,85.0,11.8,6.2
2019-02-01,25.9,89.0,0.2,5.9
2019-02-02,26.3,89.0,9.9,5.5
2019-02-03,26.7,86.0,11.3,6.4
2019-02-04,26.1,91.0,0.0,9.3
2019-02-05,26.2,90.0,17.0,5.8
2019-02-06,25.9,91.0,6.0,5.7
2019-02-07,26.1,90.0,21.3,3.0
2019-02-08,26.8,85.0,1.0,5.4
2019-02-09,27.2,85.0,0.1,4.2
2019-02-10,26.9,82.0,1.3,7.4
2019-02-11,26.7,87.0,0.0,7.7
2019-02-12,26.0,92.0,128.0,6.4
2019-02-13,25.4,95.0,73.1,1.7
2019-02-14,26.5,86.0,12.0,0.0
2019-02-15,26.0,85.0,0.0,10.1
2019-02-16,27.2,81.0,3.0,9.5
2019-02-17,27.3,81.0,0.0,11.4
2019-02-18,26.8,90.0,4.5,9.4
2019-02-19,26.7,86.0,2.25,2.5
2019-02-20,26.7,84.0,0.0,7.6
2019-02-21,26.8,85.0,0.0,6.8
2019-02-22,26.5,85.0,0.0,6.7
2019-02-23,26.7,83.0,0.0,7.0
2019-02-24,27.3,82.0,0.0,9.3
2019-02-25,28.0,80.0,0.0,10.8
2019-02-26,28.6,79.0,0.0,10.9
2019-02-27,28.7,78.0,0.0,11.6
2019-02-28,28.0,83.0,0.0,11.6
2019-03-01,28.0,80.0,0.0,6.1
2019-03-02,27.8,82.0,0.0,8.9
2019-03-03,27.4,83.0,6.15,8.4
2019-03-04,26.8,86.0,12.3,9.6
2019-03-05,27.2,85.0,0.0,8.9
2019-03-06,26.2,90.0,1.4,7.3
2019-03-07,25.2,92.0,18.7,2.2
2019-03-08,26.6,83.0,18.4,0.0
2019-03-09,27.0,83.0,0.0,4.1
